Name,Email,Type,Notes
John Smith,investor@example.com,Cash,Potential private investor
ABC Construction,info@abcbuilders.com,Service,General contractor
XYZ Electrical,contact@xyzelec.com,Technical,MEP specialist
Steel Supply Co,sales@steelsupply.com,Material,Building materials
Buffalo Developer,dev@buffaloprop.com,Land,Adjacent property owner
Jane Doe Investor,jane@investment.com,Cash,Angel investor
Premier Contractors,estimates@premierbuilds.com,Service,Construction services
Advanced MEP,info@advancedmep.com,Technical,HVAC and electrical
Concrete Plus,orders@concreteplus.com,Material,Concrete supplier
Tonawanda Holdings,contact@tonawandaholds.com,Land,Local property group
